UserId,ContinentId,RegionId,CountryId,CityId
0000000014,05,20,0155,000220
0000000016,03,14,0101,003098
0000000020,04,15,0109,004303
0000000023,01,04,0022,000154
0000000025,03,14,0101,003098
0000000026,05,21,0163,004485
0000000027,05,17,0130,006107
0000000028,02,09,0054,002193
0000000029,03,14,0101,003013
0000000032,03,14,0101,003013
0000000033,05,21,0162,007639
0000000034,01,04,0022,000167
0000000037,05,21,0158,000721
0000000039,04,15,0109,004940
0000000042,03,14,0106,003551
0000000048,04,15,0109,004940
0000000051,04,15,0109,004940
0000000052,04,15,0109,000535
0000000054,05,21,0163,008687
0000000056,02,08,0048,000302
0000000057,05,21,0163,009111
0000000059,05,20,0150,000692
0000000060,01,03,0014,000052
0000000061,04,15,0109,000535
0000000065,02,08,0051,000800
0000000067,02,09,0054,002208
0000000070,05,21,0163,008652
0000000072,04,15,0109,004070
0000000079,03,14,0103,003354
0000000083,02,08,0048,000573
0000000085,04,16,0115,005666
0000000090,03,12,0085,002558
0000000092,05,21,0163,000426
0000000094,04,15,0109,003755
0000000097,02,08,0051,000859
0000000098,03,14,0106,003551
0000000102,04,15,0109,003915
0000000103,01,04,0022,000106
0000000112,03,13,0093,002819
0000000113,05,17,0125,006000
0000000116,03,14,0101,003098
0000000117,05,19,0142,006512
0000000118,04,15,0109,003915
0000000119,03,11,0069,002282
0000000122,04,15,0109,001434
0000000125,04,15,0109,004303
0000000129,02,08,0051,000950
0000000131,04,15,0109,003881
0000000133,04,15,0109,004940
0000000137,03,14,0101,003098
0000000139,03,14,0101,003208
0000000142,04,15,0109,004616
0000000147,05,19,0145,001963
0000000149,04,15,0109,004616
0000000152,04,15,0109,003945
0000000153,04,15,0109,001434
0000000154,04,15,0109,004940
0000000155,03,11,0074,002468
0000000156,02,08,0048,000465
0000000157,03,14,0101,003098
0000000158,04,15,0109,001434
0000000160,02,08,0051,001935
0000000162,04,15,0109,003750
0000000166,04,15,0109,003945
0000000170,02,08,0048,000515
0000000176,04,15,0109,000535
0000000177,04,16,0115,005639
0000000180,05,21,0163,009009
0000000182,02,08,0051,001195
0000000183,05,21,0160,007618
0000000184,04,15,0109,004994
0000000185,05,21,0163,000426
0000000187,02,08,0051,001847
0000000189,04,15,0109,001434
0000000190,02,08,0050,000611
0000000191,05,21,0163,009036
0000000192,05,21,0163,008652
0000000194,02,08,0051,001923
0000000196,04,15,0109,003973
0000000199,05,21,0163,000426
0000000200,03,14,0108,003667
0000000208,02,08,0051,001592
0000000213,04,16,0115,005487
0000000218,05,21,0163,008450
0000000228,03,13,0093,002725
0000000230,04,15,0109,005267
0000000231,05,21,0163,008258
0000000234,01,04,0022,000107
0000000239,05,21,0163,008686
0000000240,04,15,0109,003987
0000000242,04,15,0109,004303
0000000247,02,08,0048,000371
0000000249,05,17,0123,005781
0000000255,04,15,0109,003687
0000000256,04,15,0109,003687
0000000266,04,15,0109,003687
0000000267,04,15,0109,004940
0000000268,04,15,0109,004964
0000000269,03,14,0101,003061
0000000271,05,20,0157,007052
0000000272,05,20,0157,007169
0000000274,02,08,0048,000491
0000000276,05,21,0159,007470
0000000277,05,21,0163,000781
0000000279,04,15,0109,001434
0000000286,05,21,0158,007199
0000000288,04,15,0109,000535
0000000296,04,15,0109,001434
0000000302,03,14,0106,003551
0000000303,03,14,0106,003551
0000000315,05,21,0163,008916
0000000316,02,08,0051,001552
0000000317,05,21,0163,000426
0000000319,04,16,0115,005506
0000000320,04,15,0109,003945
0000000327,05,17,0135,000583
0000000328,02,08,0051,001752
0000000336,04,15,0109,001434
0000000337,03,14,0101,003230
0000000339,01,04,0022,000106
0000000340,04,15,0109,000535
0000000341,03,14,0101,003013
0000000346,05,21,0163,008317
0000000348,04,15,0109,004940
0000000349,05,17,0130,006098
0000000351,04,15,0109,003687
0000000356,05,21,0163,001633
0000000359,04,15,0109,005046
0000000361,02,08,0051,002081
0000000365,05,21,0162,003728
0000000369,04,15,0109,003687
