TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
0000000003,0000070456,2022,10,02,000640,5
0000000008,0000007567,2022,10,04,000640,5
0000000009,0000079069,2022,10,03,000640,5
0000000010,0000031019,2022,10,03,000640,3
0000000015,0000043611,2022,10,02,000640,3
0000000018,0000043471,2022,10,04,000640,5
0000000022,0000076492,2022,9,02,000640,4
0000000023,0000020977,2022,10,04,000640,5
0000000028,0000018655,2022,9,02,000640,3
0000000029,0000062907,2022,9,02,000640,5
0000000031,0000086054,2022,9,02,000640,5
0000000033,0000041979,2022,9,02,000640,5
0000000039,0000038726,2022,9,04,000640,3
0000000043,0000067147,2022,8,02,000640,4
0000000044,0000002307,2022,9,02,000640,4
0000000045,0000003660,2022,9,02,000640,5
0000000046,0000050130,2022,9,04,000640,3
0000000054,0000030450,2022,8,02,000640,4
0000000056,0000082637,2022,7,03,000640,4
0000000061,0000033716,2022,7,05,000640,5
0000000064,0000046517,2022,8,03,000640,1
0000000066,0000050127,2022,8,02,000640,5
0000000067,0000061876,2022,8,02,000640,5
0000000068,0000016769,2022,6,02,000640,5
0000000069,0000009804,2022,7,02,000640,4
0000000072,0000044419,2022,7,02,000640,5
0000000073,0000084531,2022,7,02,000640,5
0000000075,0000083915,2022,7,02,000640,5
0000000076,0000062742,2022,7,02,000640,4
0000000077,0000047615,2022,7,02,000640,5
0000000078,0000085459,2022,7,03,000640,5
0000000080,0000071946,2022,7,04,000640,3
0000000082,0000054719,2022,7,04,000640,5
0000000087,0000016291,2022,7,03,000640,4
0000000093,0000018137,2022,6,02,000640,1
0000000095,0000037338,2022,6,03,000640,5
0000000097,0000018628,2022,6,03,000640,4
0000000103,0000047542,2022,6,05,000640,3
0000000105,0000071155,2022,6,04,000640,5
0000000106,0000073515,2022,6,02,000640,5
0000000111,0000001953,2022,5,04,000640,4
0000000112,0000031372,2022,5,02,000640,4
0000000114,0000035045,2022,5,02,000640,5
0000000116,0000079488,2022,4,03,000640,2
0000000117,0000014186,2022,4,03,000640,4
0000000123,0000078554,2021,10,02,000640,5
0000000124,0000030511,2021,11,04,000640,5
0000000127,0000050138,2021,7,04,000640,5
0000000132,0000083974,2020,10,05,000640,5
0000000133,0000040006,2021,5,05,000640,5
0000000136,0000050311,2021,1,02,000640,4
0000000138,0000056894,2021,1,02,000640,5
0000000141,0000036421,2020,12,04,000640,5
0000000143,0000062902,2020,1,03,000640,5
0000000144,0000061175,2020,12,02,000640,5
0000000145,0000061849,2019,11,02,000640,4
0000000150,0000051784,2019,10,02,000640,5
0000000158,0000061709,2019,12,02,000640,5
0000000168,0000064920,2020,3,02,000640,4
0000000170,0000027538,2020,4,04,000640,5
0000000171,0000027449,2019,7,03,000640,4
0000000172,0000064392,2020,3,02,000640,5
0000000174,0000079911,2019,11,02,000640,5
0000000176,0000055535,2020,3,02,000640,5
0000000181,0000051283,2020,3,02,000640,4
0000000183,0000073796,2020,3,04,000640,4
0000000185,0000021207,2020,3,04,000640,3
0000000187,0000023868,2020,3,04,000640,5
0000000190,0000013954,2019,8,03,000640,3
0000000192,0000055381,2019,6,04,000640,2
0000000194,0000071073,2020,3,02,000640,5
0000000195,0000000113,2020,3,02,000640,4
0000000205,0000016816,2020,3,02,000640,5
0000000206,0000041624,2020,3,02,000640,5
0000000207,0000033038,2020,3,03,000640,5
0000000208,0000046031,2020,2,05,000640,4
0000000211,0000081844,2020,3,02,000640,5
0000000212,0000064368,2020,2,03,000640,5
0000000213,0000051849,2020,3,04,000640,5
0000000223,0000053252,2019,4,04,000640,5
0000000224,0000029563,2020,3,03,000640,5
0000000225,0000066839,2020,2,03,000640,4
0000000226,0000042947,2020,1,02,000640,5
0000000231,0000077269,2020,3,02,000640,4
0000000232,0000004371,2020,3,02,000640,5
0000000233,0000025561,2019,6,02,000640,5
0000000236,0000016514,2020,3,02,000640,3
0000000237,0000052730,2020,3,02,000640,5
0000000238,0000021256,2020,3,02,000640,5
0000000239,0000045191,2020,3,02,000640,5
0000000240,0000081154,2020,3,02,000640,4
0000000241,0000057365,2020,3,02,000640,4
0000000242,0000085847,2020,3,03,000640,4
0000000244,0000059810,2020,3,04,000640,4
0000000246,0000016482,2020,1,04,000640,5
0000000249,0000045653,2020,2,02,000640,5
0000000250,0000070967,2020,3,05,000640,5
0000000252,0000063138,2020,2,04,000640,4
0000000254,0000017811,2020,2,05,000640,5
0000000258,0000010370,2020,2,05,000640,4
0000000259,0000028567,2020,2,02,000640,5
0000000262,0000043435,2020,2,05,000640,4
0000000264,0000025621,2020,2,04,000640,5
0000000266,0000024948,2020,2,02,000640,5
0000000268,0000014459,2020,2,04,000640,5
0000000273,0000057716,2020,2,04,000640,3
0000000278,0000077961,2020,2,02,000640,5
0000000279,0000032533,2020,2,03,000640,5
0000000282,0000008481,2020,2,02,000640,5
0000000284,0000053690,2019,4,03,000640,5
0000000286,0000051055,2020,2,02,000640,4
0000000288,0000062791,2020,2,02,000640,3
0000000290,0000023746,2020,2,02,000640,5
0000000293,0000046065,2020,2,02,000640,4
0000000297,0000058995,2020,1,03,000640,5
0000000298,0000075223,2020,2,02,000640,5
0000000300,0000011099,2020,2,02,000640,5
0000000308,0000039393,2020,2,02,000640,5
